"Referencia","Valor","Huella","Cantidad","No montar","Funcion"
"LED4","ROJO 3mm F2","ControladorFlechas:LED_D3.0mm","1","","LED de prueba: flecha 2 activa"
"LED5","ROJO 3mm F3","ControladorFlechas:LED_D3.0mm","1","","LED de prueba: flecha 3 activa"
"LED6","ROJO 3mm PULSO","ControladorFlechas:LED_D3.0mm","1","","Indicador del pulso del 555 / CENTROS"
"Q1,Q2,Q3,Q4","2N7000","ControladorFlechas:TO-92_2N7000","4","","MOSFET de la salida CENTROS (parpadeo con el 555). Máx. 150 mA,MOSFET interruptor de la flecha 1 (lado bajo),MOSFET interruptor de la flecha 2 (lado bajo),MOSFET interruptor de la flecha 3 (lado bajo)"
"R1","33k","ControladorFlechas:R_Vertical_P5.08mm","1","","Limitador del LED indicador de 36 V (1 mA)"
"R2,R28","1k","ControladorFlechas:R_Vertical_P5.08mm","2","","Divisor del LM317T (R1 de la fórmula),Resistencia de compuerta CENTROS"
"R3","8.2k","ControladorFlechas:R_Vertical_P5.08mm","1","","Divisor del LM317T: Vout = 1.25(1+8.2k/1k) = 11.5 V"
"R5","4.7k","ControladorFlechas:R_Vertical_P5.08mm","1","","RA del 555"
"R6","15k","ControladorFlechas:R_Vertical_P5.08mm","1","","RB fija del 555 (velocidad máxima)"
"R7,R16,R18,R20","1k","ControladorFlechas:R_Axial_P10.16mm","4","","Resistencia de compuerta flecha 1,Resistencia de compuerta flecha 2,Resistencia de compuerta flecha 3,Resistencia serie del reloj hacia el CD4017"
"R8,R13,R14,R15","10k","ControladorFlechas:R_Vertical_P5.08mm","4","","Limitador del LED de prueba F1,Limitador del LED de prueba F2,Limitador del LED de prueba F3,Limitador del LED de pulso"
"R9","100k","ControladorFlechas:R_Axial_P10.16mm","1","","CLOCK INHIBIT (pin 13) a GND a través de 100k (conteo siempre habilitado)"
"R10,R11,R17,R19,R21,R29","100k","ControladorFlechas:R_Vertical_P5.08mm","6","","Descarga del POR,Pull-down de RESET,Pull-down de compuerta CENTROS,Pull-down de compuerta flecha 1,Pull-down de compuerta flecha 2,Pull-down de compuerta flecha 3"
"R22,R23,R24,R25,R26,R27","68 1%","ControladorFlechas:R_Vertical_P5.08mm","6","","Programación de corriente flecha 1 (68+68 = 136 ohm),Programación de corriente flecha 2 (68+68 = 136 ohm),Programación de corriente flecha 3 (68+68 = 136 ohm)"
"R30","10k","ControladorFlechas:R_Axial_P10.16mm","1","","Pull-up del RESET del 555 (pin 4 a +12 V a través de 10k)"
"RV1","100k","ControladorFlechas:Trimpot_3296W","1","","Ajuste de velocidad 0.24-1.6 s por paso (reóstato)"
"SW2","REINICIO","ControladorFlechas:Boton_6mm","1","","Botón REINICIO: descarga C8 y repite el reset de encendido (vuelve a la flecha 1)"
"U1","NE555P","ControladorFlechas:DIP-8_W7.62mm","1","","Oscilador astable: define la velocidad de la secuencia"
"U2","CD4017BE","ControladorFlechas:DIP-16_W7.62mm","1","","Contador Johnson: Q0-Q2 = flechas 1-3, Q3 -> RESET (3 pasos)"
"U3","LM317T","ControladorFlechas:TO-220-3_Vertical","1","","Regulador lineal 36 V -> 11.5 V para la lógica (reemplaza al módulo LM2596)"
"U4,U5,U6","LM317LZ","ControladorFlechas:TO-92_LM317L","3","","Fuente de corriente constante 9 mA flecha 1,Fuente de corriente constante 9 mA flecha 2,Fuente de corriente constante 9 mA flecha 3"
"W1","PUENTE","ControladorFlechas:Puente_Alambre_P7.62mm","1","","Puente de alambre desnudo (red +12V), lado componentes"
